candidate_max_abs,candidate_mode,candidate_nonfinite,candidate_rms,elements,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,max_rel_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,reference_max_abs,reference_mode,reference_nonfinite,reference_rms,relative_l2,ret,rmse,scna_function,scna_kernel,scna_width,warmup
0.00337219,scna-int8,0,0.00136942,6144,128,1,4093,2095616,full,32768,0.00189117,215.789,scna-int8,216,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.02272,0,0.000706822,exp,direct,8,1
0.00164795,scna-int8,0,0.000655115,3072,64,1,4096,1048576,full,32768,0.000795438,107.471,scna-int8,216,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.937127,0,0.000321082,exp,direct,8,1
0.00351334,scna-int8,0,0.00144079,6144,128,1,4093,2095616,padding,32768,0.00201063,765.426,scna-int8,216,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.0127,0,0.000738649,exp,direct,8,1
0.00411224,scna-int8,0,0.00146067,6144,128,1,4093,2095616,causal,32768,0.00260954,427.535,scna-int8,1224,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.13886,0,0.000809648,exp,tree,16,1
0.00395203,scna-int8,0,0.00142642,6144,128,1,4093,2095616,full,32768,0.00251533,301.119,scna-int8,1224,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.15207,0,0.00079622,exp,tree,16,1
0.00181198,scna-int8,0,0.000667586,3072,64,1,4096,1048576,full,32768,0.000955261,139.561,scna-int8,1224,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.975256,0,0.000334145,exp,tree,16,1
0.00411224,scna-int8,0,0.0014934,6144,128,1,4093,2095616,padding,32768,0.00260954,1098.26,scna-int8,1224,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.12848,0,0.000823102,exp,tree,16,1
0.00441742,scna-int8,0,0.00149378,6144,128,1,4093,2095616,causal,32768,0.00291472,526.919,scna-int8,1256,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.23124,0,0.000875325,exp,tree,32,1
0.00427246,scna-int8,0,0.00146051,6144,128,1,4093,2095616,full,32768,0.00286628,423.483,scna-int8,1256,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.24845,0,0.000862826,exp,tree,32,1
0.00196838,scna-int8,0,0.000672862,3072,64,1,4096,1048576,full,32768,0.00111166,194.636,scna-int8,1256,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,1.00143,0,0.000343113,exp,tree,32,1
0.00441742,scna-int8,0,0.00152411,6144,128,1,4093,2095616,padding,32768,0.00291472,1329.05,scna-int8,1256,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.21522,0,0.000886363,exp,tree,32,1
0.00351334,scna-int8,0,0.00140632,6144,128,1,4093,2095616,causal,32768,0.00201063,287.578,scna-int8,1240,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.01734,0,0.000723255,exp,tree,8,1
0.00337219,scna-int8,0,0.00136942,6144,128,1,4093,2095616,full,32768,0.00189117,215.789,scna-int8,1240,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.02272,0,0.000706822,exp,tree,8,1
0.00164795,scna-int8,0,0.000655115,3072,64,1,4096,1048576,full,32768,0.000795438,107.471,scna-int8,1240,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.937127,0,0.000321082,exp,tree,8,1
0.00351334,scna-int8,0,0.00144079,6144,128,1,4093,2095616,padding,32768,0.00201063,765.426,scna-int8,1240,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.0127,0,0.000738649,exp,tree,8,1
